data,hora,redes,tipo,link,link_facebook,curtidas,comentarios,engajamento,compartilhamentos,salvamentos,alcance,visualizacoes,novos_seguidores,id_instagram,id_facebook,legenda
2026-08-23,20:11,facebook+instagram,FEED,https://www.instagram.com/p/DcZUN4voIvL/,https://www.facebook.com/1394493682493867/posts/1425046346105267,163,29,192,3,,,,,17918312163221313,864936030306107_1425046346105267,"DOMINGO DE TRABALHO, MAS COM SORRISO NO ROSTO! 💙

🎯 Domingo também é dia de estar perto das pessoas, ouvir, conversar e fortalecer as parcerias que fazem Santa Catarina avançar.

🫡 Gosto de estar presente, olho no olho e com a alegria de quem sabe que está construindo algo importante junto com os catarinenses.

➡️ No dia 4 de outubro, vote com responsabilidade. Conheça as propostas, a trajetória e quem está preparado para seguir trabalhando por Santa Catarina.

✅ O número de quem faz e representa é 1️⃣1️⃣2️⃣2️⃣3️⃣

#QuemFazRepresenta #PepêCollaço #SantaCatarina #11223

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-22,23:16,facebook+instagram,REELS,https://www.instagram.com/reel/DcXELhdgRNe/,https://www.facebook.com/reel/1426375496018805/,250,68,318,4,,,,,18092000807389403,864936030306107_1424336502842918,"💙 O primeiro adesivaço da nossa campanha foi daqueles momentos que mostram que estamos no caminho certo!

🚀 Passamos por Tubarão, Capivari de Baixo e Braço do Norte, levando nossa mensagem e, principalmente, encontrando de perto quem acredita no nosso trabalho.

✅ É uma mistura de orgulho por saber que o trabalho foi cumprido até aqui e de vontade de fazer ainda mais. Santa Catarina avançou, mas sabemos que ainda há muito a construir, e estamos prontos para representar nosso estado com ainda mais força na Assembleia Legislativa.

🫡 Agora, contamos com a sua confiança e com o seu voto para seguir evoluindo Santa Catarina. Vamos juntos!

#PepeCollaço #DeputadoEstadual #SantaCatarina #VamosJuntos

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-21,16:45,facebook+instagram,REELS,https://www.instagram.com/reel/DcTy3mExCSn/,https://www.facebook.com/reel/1556856899270866/,301,53,354,3,,,,,18126559558743064,864936030306107_1423306956279206,"INCLUSÃO NÃO É FAVOR. É DIREITO. 💙🧩

🫂 Hoje começa a Semana Nacional da Pessoa com Deficiência Intelectual e Múltipla, uma mobilização promovida pela rede APAE em todo o Brasil, de 21 a 28 de agosto. Neste ano, o chamado é claro: “Deficiência não define. Oportunidade transforma. Inclua nossa voz!”

✅ Como deputado, tenho a responsabilidade de lutar para que pessoas com TEA e suas famílias tenham mais acesso, mais oportunidades, mais autonomia e qualidade de vida. Inclusão precisa sair do discurso e chegar onde a vida acontece: na escola, na saúde, nas terapias e nos espaços de convivência. 

🎯 Esse trabalho já tem resultado. Ao longo do mandato, atuamos em mais de 10 municípios com equoterapia e terapia ocupacional, além da implantação de salas sensoriais e do apoio a APAEs e entidades que fazem a diferença diariamente na vida de tantas famílias.

🫡 Vou continuar trabalhando para que Santa Catarina seja um Estado onde ninguém fique para trás e onde cada pessoa tenha o direito de desenvolver todo o seu potencial. 

💙 Incluir é ouvir. É respeitar. É garantir oportunidades. E é transformar direitos em realidade.

📲 Compartilhe este vídeo com quem vive essa realidade e acredita em uma Santa Catarina cada vez mais inclusiva.

1️⃣1️⃣2️⃣2️⃣3️⃣✅

#Inclusão #TEA #SantaCatarina #APAE #PepeCollaco

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-20,20:54,facebook+instagram,REELS,https://www.instagram.com/reel/DcRqT7DBbQQ/,https://www.facebook.com/reel/1595149729071083/,243,33,276,2,,,,,18102305102265238,864936030306107_1422658013010767,"💙 Tubarão é parte de quem eu sou. É a cidade que eu amo, que me acolheu e que eu tenho orgulho de representar. 

🫂 Cuidar de Tubarão e do Sul de Santa Catarina é uma responsabilidade que levo muito a sério. Quero seguir trabalhando, ouvindo as pessoas e buscando, todos os dias, o melhor para a nossa região.

🎯 No próximo mandato, quero continuar esse trabalho com ainda mais força, defendendo nossas cidades e ajudando a construir o futuro que o Sul merece.

🫡 Conto com o voto e a confiança de todos que acreditam em Tubarão e querem o melhor para o nosso Sul de Santa Catarina. Vamos juntos! 

#PepeCollaço #Tubarão #SulDeSantaCatarina #SantaCatarina #VamosJuntos

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-19,20:44,facebook,post,https://www.facebook.com/1394493682493867/posts/1421846939758541,,,,,,,,,,,864936030306107_1421846939758541,"🚀 O desenvolvimento de uma região também passa pela capacidade de atrair investimentos.

🎯 Cada empresa que escolhe Santa Catarina representa novas oportunidades para quem quer trabalhar, empreender e construir o futuro da sua família.

➡️ É esse o caminho que acredito: criar um ambiente de confiança para que mais investimentos cheguem ao nosso estado, fortalecendo a economia e gerando empregos de qualidade.

💬 Compartilhe este post. Quanto mais oportunidades chegarem ao Sul de Santa Catarina, mais forte será o futuro da nossa gente.

#PepêCollaço #SantaCatarina #Laguna #Emprego"
2026-08-19,20:44,instagram,FEED,https://www.instagram.com/p/DcPE2jjILYZ/,,49,7,56,,,,,,18133048144621472,,"🔰 Mais empregos para o Sul de SC são resultado do meu trabalho e da articulação que venho construindo para transformar diálogo em oportunidades.

🚀 O desenvolvimento de uma região também passa pela capacidade de atrair investimentos.

🎯 Cada empresa que escolhe Santa Catarina representa novas oportunidades para quem quer trabalhar, empreender e construir o futuro da sua família.

➡️ É esse o caminho que acredito: criar um ambiente de confiança para que mais investimentos cheguem ao nosso estado, fortalecendo a economia e gerando empregos de qualidade.

💬 Compartilhe este post. Quanto mais oportunidades chegarem ao Sul de Santa Catarina, mais forte será o futuro da nossa gente.

#PepêCollaço #SantaCatarina #Laguna #Emprego

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-19,14:27,facebook+instagram,REELS,https://www.instagram.com/reel/DcOZiGvRZ2h/,https://www.facebook.com/reel/1496133008627687/,292,28,320,5,,,,,18106561727149188,864936030306107_1421605173116051,"VAMOS EM FRENTE 🔰

🚗 Os primeiros sinais de uma nova etapa já estão nas ruas.

Hoje foi dia de aplicar o adesivo perfurado e registrar mais um momento dessa caminhada.

📍 A mobilização continua e, para quem já decidiu participar da adesivagem, entre em contato para saber como fazer a aplicação no seu veículo.

🎯 1️⃣1️⃣2️⃣2️⃣3️⃣

PROPAGANDA ELEITORAL: ELEIÇÕES 2026 - DEPUTADO ESTADUAL PEPÊ COLLAÇO - CNPJ 68.472.001/0001-72"
2026-08-18,20:48,facebook,post,https://www.facebook.com/reel/2823846518017226/,,,,,1,,,,,,864936030306107_1421026396507262,"PODE PARECER MUITAS COISAS… 🤔

Mas, na verdade, eu estou pensando é em tudo que já entreguei por Santa Catarina no meu mandato anterior e que faz diferença na vida de quem vive no nosso estado. 💪🏼

Porque quando o trabalho vira resultado, a gente tem do que se orgulhar:
🔬 Teste rápido em farmácias
🧩 Salas sensoriais
🐴 Equoterapia
🛣️ Pavimentação de ruas
🎬 Cine Azul

1️⃣1️⃣2️⃣2️⃣3️⃣ 

🫡 Me acompanhe por aqui!

#SantaCatarina #TrabalhoQueEntrega #PepêCollaço #QuemFazRepresenta"
2026-08-18,20:48,instagram,REELS,https://www.instagram.com/reel/DcMgV1oN8tu/,,302,39,341,,,,,,17942862504324713,,"PODE PARECER MUITAS COISAS… 🤔

Mas, na verdade, eu estou pensando é em tudo que já entreguei por Santa Catarina no meu mandato e que faz diferença na vida de quem vive no nosso estado. 💪🏼

Porque quando o trabalho vira resultado, a gente tem do que se orgulhar:
🔬 Teste rápido em farmácias
🧩 Salas sensoriais
🐴 Equoterapia
🛣️ Pavimentação de ruas
🎬 Cine Azul

1️⃣1️⃣2️⃣2️⃣3️⃣ 

🫡 Me acompanhe por aqui!

#SantaCatarina #TrabalhoQueEntrega #PepêCollaço #QuemFazRepresenta"
2026-08-18,16:24,facebook,post,https://www.facebook.com/1394493682493867/posts/4124943664471922?substory_index=4124943664471922,,,,,4,,,,,,864936030306107_4124943664471922,
2026-08-17,23:34,facebook+instagram,FEED,https://www.instagram.com/p/DcKOteWjVME/,https://www.facebook.com/1394493682493867/posts/1420317313244837,343,25,368,5,,,,,18120442882886297,864936030306107_1420317313244837,"Hoje é um dia de muita alegria e, acima de tudo, de reconhecimento. 💙👏

🏅 Brunel, meu sogro, ex-prefeito e um grande batalhador por Capivari de Baixo, recebe o merecido título de Cidadão Honorário do município.

➡️ Ao longo de sua trajetória, dedicou parte importante de sua vida ao desenvolvimento de Capivari de Baixo, enfrentando desafios, trabalhando pelas pessoas e contribuindo para transformar a cidade.

👏 Sua caminhada se confunde com a própria história do município. Uma trajetória construída com trabalho, dedicação e compromisso com a população.

💙 Tenho muito orgulho de acompanhar este momento e de ver sua contribuição sendo reconhecida. É uma homenagem justa e merecida a quem dedicou tanto à nossa cidade e deixou sua marca na construção de uma Capivari de Baixo cada vez melhor.

Parabéns, Brunel! 👏🏼 Que este reconhecimento seja também uma celebração de toda a sua trajetória e de tudo o que você fez por Capivari de Baixo. 🚀

#PepeCollaço #CapivariDeBaixo #SantaCatarina #TrabalhoQueTransforma"
2026-08-17,20:52,facebook+instagram,REELS,https://www.instagram.com/reel/DcJ7ywGuYdP/,https://www.facebook.com/reel/1961241981240460/,211,36,247,2,,,,,18083634671267691,864936030306107_1420243323252236,"TUBARÃO PRECISA TER VOZ UMA VOZ QUE VIVE A NOSSA REALIDADE. 🗣️

🤝 Quem vive aqui sabe: conhece os desafios, acompanha o que precisa melhorar e, principalmente, conhece a força e o potencial da nossa cidade.

💙 Eu conheço essa cidade porque faço parte dela. Ando pelas nossas ruas, converso com quem empreende, trabalha, estuda e constrói sua vida aqui. E é dessa proximidade que nasce um mandato que transforma demandas em trabalho e trabalho em resultados.

➡️ Nos próximos episódios, vou mostrar histórias, investimentos, obras e projetos que ajudam a explicar, na prática, por que ter alguém de Tubarão defendendo Tubarão faz diferença.

Acompanhe a série. No final, quero saber de você:

Vale a pena ter um deputado de Tubarão? 👊

#Tubarão #SantaCatarina #PepêCollaço #QuemFazRepresenta"
2026-08-16,22:19,facebook+instagram,REELS,https://www.instagram.com/reel/DcHg7YCxWBB/,https://www.facebook.com/reel/862031623514113/,428,66,494,8,,,,,18038641487826772,864936030306107_1419468879996347,"🚀 QUERO REPRESENTAR VOCÊ! 🙌

Começa agora uma nova caminhada! 

💙 Uma campanha feita de perto, ouvindo as pessoas, conhecendo as realidades e levando para a política a voz de quem precisa ser representado. 🤝

Eu sou Pepe Collaço e quero representar você! 🫵

1️⃣1️⃣2️⃣2️⃣3️⃣

Vamos juntos nessa caminhada! 💪🚀

#PepeCollaço #DeputadoEstadual #Campanha #SantaCatarina"
2026-08-16,11:58,facebook+instagram,FEED,https://www.instagram.com/p/DcGZ4SJhZfk/,https://www.facebook.com/1394493682493867/posts/1419082396701662,776,214,990,5,,,,,18482736376103162,864936030306107_1419082396701662,"DIA 1 ✅ AGORA É PRA VALER! 🚀💙

A gente estava ansioso por esse momento. E ele chegou!

Começa hoje uma nova caminhada por Santa Catarina. Com muita energia, pé na estrada e vontade de fazer uma campanha bonita, próxima das pessoas e cheia de trabalho. 🤝

O santinho já está na mão e o nosso número é 1-1-2-2-3! 🗳️

É Pepê Collaço, 1-1-2-2-3✅

Vamos com tudo! 🚀

Acompanhe, compartilhe e venha fazer parte dessa caminhada com a gente! 💙

#PepêCollaço #11223 #SantaCatarina #Eleições2026 #VamosComTudo"
2026-08-15,15:01,facebook+instagram,FEED,https://www.instagram.com/p/DcEJ8YVgpWY/,https://www.facebook.com/1394493682493867/posts/1418387656771136,126,20,146,,,,,,18100399784262383,864936030306107_1418387656771136,"Estou ON no find ✅

➡️ Semana de estrada, de encontros e, principalmente, de escuta.

🫂 Cada conversa, cada visita e cada município percorrido reforçam um compromisso: estar presente, ouvir de perto as demandas da nossa gente e transformar diálogo em trabalho.

🎯 É assim que seguimos construindo uma Santa Catarina cada vez melhor, lado a lado com quem vive a realidade de cada cidade. 

#TrabalhoQueTransforma #PepêCollaço #SantaCatarina"
2026-08-14,23:46,facebook+instagram,REELS,https://www.instagram.com/reel/DcChlKxNOY5/,https://www.facebook.com/reel/1674649913607752/,148,41,189,1,,,,,18209973145351225,864936030306107_1417807213495847,"Está chegando nossa nova fase… 🫡

Cada gravação, cada reunião e cada quilômetro percorrido têm o mesmo propósito: continuar trabalhando por Santa Catarina e honrar a confiança de quem caminha comigo.

🚀 Vamos em frente. Estou pronto e conto com vocês!

🤝 Me acompanhe por aqui se você quer ver Santa Catarina evoluindo de verdade!

#SantaCatarina #TrabalhoQueEntrega #Bastidores #DeputadoEstadualSC"
2026-08-14,14:45,facebook,post,https://www.facebook.com/1394493682493867/posts/1417508280192407,,,,,,,,,,,864936030306107_1417508280192407,"💙 Sessão Azul: cinema adaptado e mais inclusivo para pessoas com TEA

🧩 Para muitas pessoas com Transtorno do Espectro Autista (TEA), uma sessão de cinema tradicional pode ser desafiadora por causa do volume do som, da escuridão e da quantidade de estímulos.

✨ É por isso que existe a Sessão Azul: uma experiência adaptada para oferecer mais conforto, acolhimento e liberdade. Com luzes parcialmente acesas, som reduzido e um ambiente mais tranquilo, mais famílias podem aproveitar esse momento com segurança e tranquilidade.

🤝 Inclusão também significa garantir o acesso ao lazer, à convivência e a experiências que fazem parte da vida de todos.

💬 Compartilhe este post para que mais pessoas conheçam a Sessão Azul e ajudem a construir uma Santa Catarina cada vez mais inclusiva.

#PepêCollaço #SantaCatarina #autism #Inclusão #cinema"
2026-08-14,14:45,instagram,FEED,https://www.instagram.com/p/DcBjuC2gDZB/,,102,21,123,,,,,,18019294886879430,,"💙 Como autor da lei que instituiu a Sessão Azul em Santa Catarina, tenho orgulho de ver essa iniciativa transformando a experiência de cinema para pessoas com TEA.

Para muitas pessoas com Transtorno do Espectro Autista (TEA), uma sessão de cinema tradicional pode ser desafiadora por causa do volume do som, da escuridão e da quantidade de estímulos.

✨ É por isso que existe a Sessão Azul: uma experiência adaptada para oferecer mais conforto, acolhimento e liberdade. Com luzes parcialmente acesas, som reduzido e um ambiente mais tranquilo, mais famílias podem aproveitar esse momento com segurança e tranquilidade.

🤝 Inclusão também significa garantir o acesso ao lazer, à convivência e a experiências que fazem parte da vida de todos.

💬 Compartilhe este post para que mais pessoas conheçam a Sessão Azul e ajudem a construir uma Sa nta Catarina cada vez mais inclusiva.

#PepêCollaço #SantaCatarina #Autismo #Inclusão #Cinema"
2026-08-13,22:11,facebook+instagram,FEED,https://www.instagram.com/p/Db_x4XPhKp4/,https://www.facebook.com/1394493682493867/posts/1416970476912854,199,27,226,2,,,,,18067542323557807,864936030306107_1416970476912854,"Você encontrou quem faz a diferença? 🪞👀

🫵🏼 Ao dar um zoom, o reflexo que aparece é o seu.

🫂 Agradeço pelo seu apoio, pela confiança no meu trabalho e por fazer parte desta caminhada. É por pessoas como você que seguimos trabalhando todos os dias para construir uma Santa Catarina cada vez melhor.

#TrabalhoQueTransforma #PepêCollaço #SantaCatarina"
2026-08-12,20:31,facebook+instagram,FEED,https://www.instagram.com/p/Db9Bv1goPPf/,https://www.facebook.com/1394493682493867/posts/1416113520331883,214,55,269,3,,,,,18111331364067799,864936030306107_1416113520331883,"🫡 A confiança se constrói com trabalho.

Tive a honra e a responsabilidade de presidir a Comissão de Constituição e Justiça (CCJ), a principal comissão da Assembleia Legislativa.

✅ Acredito que a boa política se faz assim: ouvindo, construindo consensos e trabalhando por Santa Catarina.

🎯 Seguimos trabalhando, com responsabilidade e compromisso com Santa Catarina.

#PepêCollaço #Alesc #CCJ #SantaCatarina #TrabalhoQueTransforma"
2026-08-11,11:59,facebook+instagram,REELS,https://www.instagram.com/reel/Db5iHnWxD-K/,https://www.facebook.com/reel/1701088464280354/,100,21,121,,,,,,18133601728716925,864936030306107_1414967073779861,"ORGULHO DE SER CATARINENSE! 💚❤️

Hoje é dia de celebrar Santa Catarina, o estado que tenho orgulho de chamar de casa e de representar todos os dias.

🫱🏻‍🫲🏼 Tenho orgulho de ter nascido aqui e, principalmente, de poder trabalhar por quem vive em cada canto do nosso estado.

Que Santa Catarina siga crescendo, com trabalho, oportunidades e qualidade de vida para todos.

Parabéns, Santa Catarina! 🎂

#SantaCatarina #OrgulhoDeSerCatarinense #PepêCollaço"
