"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
18163008562362698,17841401444333135,pepecollaco,"Pepê Collaço","🛢️ DITADURA, OURO E INTERESSES ESCONDIDOS 💰

Sim, Maduro é um ditador. Censura a imprensa, prende opositores e manipula eleições. A Venezuela mergulhou em uma crise política e humanitária sob um regime autoritário e isso ninguém pode negar. ⚠️

Mas… você realmente acredita que Trump e os EUA intervieram só para “salvar o povo”? 🤨

🎯 Por trás do discurso de libertação, há um subsolo avaliado em trilhões de dólares:
🌍 As maiores reservas de petróleo do mundo, minas de ouro, gás e minerais estratégicos.

Esse vídeo mostra um trecho forte de um filme que ajuda a entender o jogo real: não é só sobre ideologia, é sobre poder, recursos e controle global.

🧠 Questione a narrativa. Sempre que falarem em “missão de paz”, pergunte: quem lucra com a guerra?

📽️ Assista, pense e compartilhe 👇

#Geopolítica #Venezuela #Petróleo #Ouro #Maduro Trump Intervenção RiquezasNaturais CriseVenezuelana PoderGlobal GatilhoMental ConsciênciaPolítica",108,"01/04/2026 15:09",https://www.instagram.com/reel/DTG0zjyDUvf/,"Reel do Instagram",,Total,13975,437,209,8,59,17815,15
18199337572328012,17841401444333135,pepecollaco,"Pepê Collaço","Começando o ano com o pé direito! 🙌

Gravatal avança com a inauguração do novo asfalto da Rua São Sebastião, na comunidade de Tiradentes. Uma obra muito aguardada, entregue durante a tradicional Festa de São Sebastião, que valoriza a igreja centenária, melhora os acesso com segurança pela SC-370 e transforma o local em um verdadeiro cartão-postal religioso.

Nosso gabinete destinou R$ 400 mil, tornando esse sonho da comunidade realidade. Seguimos trabalhando por mais desenvolvimento para Gravatal! 🚧✨",0,"01/14/2026 14:59",https://www.instagram.com/reel/DTgihs4CSe_/,"Reel do Instagram",,Total,28492,391,14,12,5,20425,4
17971395962987352,17841401444333135,pepecollaco,"Pepê Collaço","SE EU PUDESSE, EU RESOLVIA TUDO! 💪🏼

Se fosse só pela vontade, tava tudo feito.
Mas tem coisa que não é papel do deputado…

👉 Mesmo assim, eu escuto, acolho e ajo.
Porque entender o problema é o primeiro passo pra buscar solução.
E tudo que está ao meu alcance, eu faço — com trabalho sério e amor pela missão que escolhi.

📍Quando a oportunidade aparece, eu abro as portas.
Porque política boa é aquela que constrói caminho de verdade.

#TrabalhoComResultado #PepêCollaço #EmpregoÉDesenvolvimento #InfraestruturaQueTransforma #SCemMovimento SantaCatarinaQueDáCerto",0,"01/15/2026 10:54",https://www.instagram.com/reel/DTish1nAU9M/,"Reel do Instagram",,Total,8809,207,34,19,2,5703,10
17849816700657322,17841401444333135,pepecollaco,"Pepê Collaço","AQUI NÃO PARA e o ASFALTO CHEGOU! 🚧🔥

O cheirinho de asfalto novo que a comunidade tanto esperava já está no ar aqui na Sanga!

Essa pavimentação é resultado de uma emenda do nosso mandato, em parceria com o prefeito Sorato, pra garantir mais segurança e qualidade de vida pra quem vive aqui.

📍Quando a gente promete, a gente entrega.
📍E o trabalho não para por aqui!

➡️ Acompanhe nosso mandato pelas redes e compartilhe essa conquista!

#SCLevadoASério #InfraestruturaÉPrioridade #PepêCollaço #ObraEntregue #AsfaltoNovo SantaCatarina TrabalhoQueFazADiferença",0,"01/16/2026 12:52",https://www.instagram.com/reel/DTleyCLgepb/,"Reel do Instagram",,Total,51077,485,31,38,4,35198,10
17948534988089425,17841401444333135,pepecollaco,"Pepê Collaço","A MELHOR COISA QUE TEM: Ver a obra pronta do recurso que enviamos! 🚀

Gravatal com o prefeito @cleinils.rodriguesdasilva não para de inaugurar obras e essa é só mais uma delas.. vem coisas boas por aí!",86,"01/19/2026 05:20",https://www.instagram.com/reel/DTsZKEEgHwo/,"Reel do Instagram",,Total,18809,170,19,5,3,14310,2
18153553147427809,17841401444333135,pepecollaco,"Pepê Collaço","🚀 Rio Fortuna segue avançando!
Mais investimentos chegando para fazer a cidade crescer: carro novo para a educação 🚗📚, R$ 200 mil em infraestrutura 🏗️ e uma balança que fortalece o desenvolvimento do município.

Compromisso reafirmado com trabalho, parceria e resultados concretos.
👉 E vem muito mais por aí! 💪",51,"01/23/2026 03:24",https://www.instagram.com/reel/DT2e9D7gLOL/,"Reel do Instagram",,Total,26958,183,13,8,2,18865,12
18408438373123622,17841400515169097,ducazata,"Duca Zata","🚧 Agora é realidade: a pavimentação chegou!

A Rua São Francisco de Assis está saindo do papel, ligando os bairros Liri, Casagrande e Mareli e atendendo uma demanda antiga dos moradores. Um avanço que traz mais mobilidade, segurança e qualidade de vida para quem passa por aqui todos os dias.

Essa conquista só é possível graças aos recursos do deputado federal Pepê Collaço, reforçando a parceria que transforma pedidos da comunidade em obras de verdade.

✅ Mais infraestrutura
✅ Mais desenvolvimento
✅ Mais respeito com a população

👉 Trabalho sério que vira resultado e chega onde a população mais precisa.

#içara #infraestrutura #pavimentação",68,"01/27/2026 10:16",https://www.instagram.com/reel/DUBhoXjkTNR/,"Reel do Instagram",,Total,7259,218,28,55,0,,
17909652429322575,17841401444333135,pepecollaco,"Pepê Collaço","⚽️ Investir no esporte é investir no futuro.
São R$ 500 mil para o gramado sintético do Caravaggio FC, fortalecendo o clube e a formação de novos talentos.
Seguimos trabalhando por Santa Catarina! 💪",96,"01/28/2026 01:30",https://www.instagram.com/reel/DUDKUDBDeAN/,"Reel do Instagram",,Total,72523,836,57,18,14,45584,14
18255322288295000,17841401444333135,pepecollaco,"Pepê Collaço","Ex-ministra da Suprema Corte do Chile, Ángela Vivanco, foi presa em Santiago acusada de suborno, tráfico de influência e lavagem de dinheiro. O caso é considerado um dos maiores escândalos do Judiciário chileno nos últimos anos.

Segundo a investigação, ela teria usado o cargo para interferir em decisões judiciais e favorecer empresários e advogados em troca de vantagens financeiras. Parte dos pagamentos teria passado por intermediários e pelo marido da ex-ministra, com movimentações milionárias sob suspeita.

O nome de Vivanco aparece ligado ao chamado “Caso Hermosilla” ou “Caso dos Áudios”, que revelou uma rede de influência envolvendo advogados, empresários e autoridades para manipular decisões da Justiça, especialmente em processos contra a estatal de mineração Codelco.

A Justiça decretou prisão preventiva, alegando risco de obstrução das investigações e gravidade dos crimes. Mensagens, transferências bancárias e documentos seguem sendo analisados para identificar outros envolvidos.

A Suprema Corte informou que colabora com as apurações. O caso aprofunda a crise de confiança no sistema judicial chileno e reacende o debate sobre corrupção, controle e responsabilidade de magistrados.

Fontes:
🗞 O Antagonista – 27 jan. 2026
🗞 Gazeta do Povo – 27 jan. 2026
🗞 R7 Notícias – 26 jan. 2026
🗞 El País (Chile)
🗞 La Tercera (Chile)",0,"01/28/2026 08:14",https://www.instagram.com/p/DUD4IRrgMM6/,"Imagem do Instagram",,Total,3838,21,7,0,0,2219,0
17899687746225672,17841401444333135,pepecollaco,"Pepê Collaço","ENTREGA QUE VALORIZA QUEM CUIDA DE TODOS 💙🚐

Mais do que uma van: é um reconhecimento ao trabalho silencioso e incansável das mulheres do Clube de Mães de Nova Veneza.

Uma voltinha especial junto com a prefeita @angelaghislandi e a vereadora @carmenmalgarise , fizemos essa entrega com o coração cheio de gratidão e compromisso! Essa conquista é delas! 💖

Seguimos juntos fortalecendo quem transforma a vida da comunidade com afeto, cuidado e união. 🤝✨

👉 Acompanhe nosso trabalho e compartilhe iniciativas como essa!
⠀",114,"01/29/2026 13:08",https://www.instagram.com/reel/DUG-karAWrd/,"Reel do Instagram",,Total,33834,680,39,18,6,24113,10
18165828118401926,17841401444333135,pepecollaco,"Pepê Collaço","🚨 Bilhões em risco.
🏦 Um banco colapsa.
⚖️ O sistema falha.

O caso Banco Master escancara o que acontece quando poder, dinheiro e influência se misturam sem responsabilização.

💰 Trabalhadores, investidores , aposentadorias, fundos de previdência e a confiança no sistema ficaram expostos.
📉 Quando um banco desse tamanho quebra, o prejuízo não é privado. É coletivo.

🇨🇱 No Chile, houve investigação e prisão.
🇧🇷 No Brasil, o silêncio institucional ainda fala mais alto.

Isso não é disputa ideológica.
É defesa do Estado de Direito.
É proteção da sociedade.
É exigência de Justiça.

#Justiça #BancoMaster #Responsabilização #EstadoDeDireito #Transparência Brasil",0,"01/30/2026 13:11",https://www.instagram.com/p/DUJkFJsgfXg/,"Carrossel do Instagram",,Total,5544,44,15,4,0,2950,0
17935357260015848,17841401444333135,pepecollaco,"Pepê Collaço","R$ 33,9 MILHÕES. OFFSHORE. SIGILO. 🕵️‍♂️

O caso precisa ser investigado com urgência e seriedade.
Segundo reportagem, um fundo ligado a familiares de um ministro do STF foi encerrado e teve todos os ativos transferidos para uma offshore nas Ilhas Virgens Britânicas — um paraíso fiscal onde não é possível identificar os donos do dinheiro. 💰🌴

A operação envolveu supervalorização de cotas em mais de 44.000% e aponta semelhanças com o esquema investigado no caso Banco Master. O Banco Central já decretou a liquidação da gestora envolvida, por “graves violações regulatórias”.

🔍 Transparência não pode ter lado. Justiça precisa valer para todos.

📢 O cidadão exige respostas. E o Congresso deve agir com independência e firmeza.

#TransparênciaJá #Fiscalização #PolíticaComResponsabilidade #DinheiroPúblico #Offshore",60,"01/31/2026 06:39",https://www.instagram.com/reel/DULb_F_AI6L/,"Reel do Instagram",,Total,1206,18,1,0,0,900,0
18049256462695352,17841401444333135,pepecollaco,"Pepê Collaço","TRABALHO SEM PAUSA 🚧✈️

Praia? Quase não se vê…
Quando o compromisso é com Santa Catarina, o tempo é outro.
Seguimos firmes, cobrando obras, atraindo investimentos e defendendo quem mais precisa! 💪

📍 De Laguna à China, do Morro dos Cavalos às rotas alternativas…
É trabalho que atravessa fronteiras pra trazer resultado pra nossa gente!

➡️ Acompanhe o mandato!
#SCLevadoASério #TrabalhoPeloSul #InfraestruturaJá #DeputadoPepê #SantaCatarina PolíticaQueTransforma",70,"02/02/2026 14:28",https://www.instagram.com/reel/DURbC3cAEh2/,"Reel do Instagram",,Total,5406,103,16,7,2,14413,0
17880373440461396,17841401444333135,pepecollaco,"Pepê Collaço","ANO LEGISLATIVO COMEÇOU NA ALESC ▶️

O ano legislativo começou oficialmente aqui na Alesc.
A verdade é que a nossa correria nunca parou.. 🏃

Mas agora os trabalhos em plenário, nas comissões e no diálogo com as regiões ganham ainda mais ritmo.
Seguimos firmes na construção de políticas públicas que façam a diferença na vida das pessoas. 💡

Acompanhe.

#Alesc #SantaCatarina #DeputadoPepê #PolíticaComPropósito #MandatoPresente",0,"02/03/2026 12:30",https://www.instagram.com/p/DUTx445AXqf/,"Imagem do Instagram",,Total,4070,91,11,8,1,2570,0
17905623456185498,17841401444333135,pepecollaco,"Pepê Collaço","OBRA QUE TRANSFORMA VIDAS EM IÇARA 🚧

A Rua 17 de Dezembro, no Loteamento Casa Grande, agora está pavimentada! 🛣️
Obra linda, feita com recursos do nosso mandato, atendendo três bairros importantes: Marili, Liri e Casa Grande.

O prefeito em exercício Zata destacou a importância da pavimentação para o acesso à unidade de saúde da região.
Fim da lama, fim da poeira. Início de mais dignidade! 👏

Seguimos investindo na infraestrutura do Sul de Santa Catarina.
Obras que melhoram a vida de quem vive aqui.

➡️ Tem muito mais por vir. Tamo junto, Içara!

#PepêPorSantaCatarina #Içara #ObraConcluída #Infraestrutura #SulCatarinense",67,"02/04/2026 06:46",https://www.instagram.com/reel/DUVuUh_gCd0/,"Reel do Instagram",,Total,19421,185,6,4,2,15147,3
18104934442834678,17841401444333135,pepecollaco,"Pepê Collaço","QUANDO A JUSTIÇA TEM SOBRENOME… ⚖️🧐

Parentes diretos de 8 dos 10 ministros do STF tiveram um salto de atuação em tribunais superiores depois que os familiares chegaram à mais alta corte do país.

📊 70% dos processos com participação desses advogados foram protocolados após a posse dos ministros.

Isso é o que chamam de “coincidência”?
O povo brasileiro está cansado de um Judiciário que se protege, mas não se explica.

👁‍🗨 Impedimento técnico não basta. O que está em jogo é a credibilidade de uma instituição que deveria ser exemplo de moralidade pública.

📣 Justiça de verdade precisa ser neutra, ética e acessível — não um clube fechado para famílias influentes.

➡️ Siga e compartilhe: a gente vai continuar cobrando.
#STF #JustiçaComNomeESobrenome #TransparênciaJá #BrasilReal #ChegaDePrivilégio PepêCollaço

📸🔁 Arte: Gisele Cristiane de Oliveira e Regina Elisabeth da Silva / @estadao",0,"02/05/2026 12:30",https://www.instagram.com/p/DUY8LPWkcdM/,"Carrossel do Instagram",,Total,5953,69,38,5,3,3225,1
18054955535416618,17841401444333135,pepecollaco,"Pepê Collaço","CARRO NOVO PARA CAPIVARI DE BAIXO 🚗💪

Mais uma conquista chegando para melhorar a vida da nossa gente!

Em parceria com o vereador @ezequielcorreazico garantimos a entrega de um veículo novinho para Capivari de Baixo. Um reforço importante para o atendimento da comunidade, que agora terá mais mobilidade, agilidade e segurança no serviço público.

💙 Nosso mandato é isso: resultado, trabalho conjunto e presença nos municípios.

Seguimos firmes, levando recursos onde realmente fazem a diferença!

📍Capiva, conte sempre com a gente!

➡️ Acompanhe o mandato do deputado Pepê Collaço e fique por dentro das conquistas da sua região.

#SantaCatarina #PepêCollaço #MandatoPresente #SCLevadoASério CaratipaDebaixo PolíticaQueEntrega TrabalhoNosMunicípios",73,"02/06/2026 10:46",https://www.instagram.com/reel/DUbUjoyiahu/,"Reel do Instagram",,Total,21972,184,15,5,2,26196,3
18105793510703975,17841401444333135,pepecollaco,"Pepê Collaço","O TRABALHO CONTINUA… mas quem vai curtir o final de semana de sol ☀️ aproveita as dicas! 

VAI APROVEITAR A PRAIA? Me conta",0,"02/07/2026 06:37",https://www.instagram.com/p/DUddW9KgAHz/,"Carrossel do Instagram",,Total,3750,24,6,2,0,2222,0
18052194983469967,17841401444333135,pepecollaco,"Pepê Collaço","ESPORTES COM ESTRUTURA ⚽️🏟️

Mais que futebol: é convivência, saúde e orgulho comunitário! 💚

A revitalização do Complexo Esportivo Antônio Amboni, em Nova Veneza, representa o nosso compromisso com quem faz o esporte acontecer todos os dias, na base, na várzea e na arquibancada.

Espaços assim são fundamentais para fortalecer o lazer, apoiar nossos jovens e valorizar o que temos de melhor: as pessoas. 👏

Seguimos trabalhando por mais investimentos como esse em todas as regiões de Santa Catarina! 🚀

👉 Acompanhe o mandato.",119,"02/08/2026 06:35",https://www.instagram.com/reel/DUgBjIcgMSH/,"Reel do Instagram",,Total,20113,426,46,25,3,11477,9
18305409223277982,17841401444333135,pepecollaco,"Pepê Collaço","Seja feliz com a festa que é a cara do BRASIL! 🇧🇷",0,"02/13/2026 15:37",https://www.instagram.com/p/DUt3_FhjeTI/,"Imagem do Instagram",,Total,4717,26,12,7,0,3274,0
18132719599509427,17841401444333135,pepecollaco,"Pepê Collaço","LINDA DEMAIS! 🎉

Ontem a passarela Negro Querido estava simplesmente espetacular!

Foi uma alegria enorme participar desse momento tão especial e receber o convite da escola @academicosdosuldailha para desfilar. Que energia incrível! ✨🥁

Foi lindo, divertido e emocionante ver tanta dedicação transformada em espetáculo em homenagem ao @liratenisclube . 💃🕺

Parabéns a todos os envolvidos! Estava tudo lindo, a festa linda, o povo animado… um verdadeiro show de cultura e tradição!

E podem ter certeza: estamos só começando! 🚀

Acompanhe, compartilhe e venha viver esses momentos com a gente! 🙌

#Cultura #Tradição #SantaCatarina #Carnaval #NegroQuerido PepêCollaço SC",0,"02/14/2026 09:38",https://www.instagram.com/p/DUvzqesgOox/,"Carrossel do Instagram",,Total,15551,280,14,12,2,8248,0
18094195078789798,17841401444333135,pepecollaco,"Pepê Collaço","NÃO É MILAGRE. É MECANISMO. 🧠🔬

Quando a ciência entende a causa, ela deixa de tratar no escuro.

Nos Estados Unidos, pesquisadores colocaram luz sobre um caminho que pode ajudar parte das pessoas com TEA: o ácido folínico (leucovorina), derivado da vitamina B9.

⚠️ Não estamos falando em cura.

Os estudos indicam possível benefício em um subgrupo específico, especialmente em aspectos ligados à linguagem e comunicação — principalmente quando há alteração no transporte ou metabolismo do folato.

Ou seja: não é para todos.
E ainda há debate científico e necessidade de pesquisas maiores.

Mas aqui está o ponto que realmente importa 👇

✅ Quando você acerta o mecanismo biológico, você aumenta as chances de oferecer um cuidado mais direcionado, mais responsável e baseado em evidência.

Autismo exige seriedade.
Exige dados.
Exige política pública com base científica — não achismo.

Conhecer para incluir. Sempre. 💙

Comente sua opinião e compartilhe informação de qualidade.

#AutismoÉPrioridade #AbrilAzul #ConhecerParaIncluir #EvidênciaCientífica",54,"02/15/2026 07:31",https://www.instagram.com/reel/DUyJsSoAIz2/,"Reel do Instagram",,Total,13969,185,143,11,14,10193,5
18093782258073617,17841401444333135,pepecollaco,"Pepê Collaço","CARNAVAL OU CAMPANHA? 🎭

O que aconteceu neste domingo foi inédito e, sim, absurdo! 🤬

Um Presidente em exercício virou enredo em ano pré-eleitoral, com verba pública envolvida e transmissão em rede nacional. Isso nunca aconteceu antes.

Não é sobre festa.
É sobre limite.

Quando dinheiro público entra em cena e o homenageado é quem está no poder, a pergunta muda de tom.

É cultura ou é vitrine política?

O debate não é partidário.
É constitucional.

Leia o carrossel até o fim e tire sua própria conclusão. 👀

Compartilhe com quem precisa entender o que está em jogo.",0,"02/16/2026 08:58",https://www.instagram.com/p/DU04ub-AJr2/,"Carrossel do Instagram",,Total,20236,321,79,30,4,9069,1
17874186462532390,17841401444333135,pepecollaco,"Pepê Collaço","O trabalho não para e as entregas também não! 😉",0,"02/19/2026 12:47",https://www.instagram.com/p/DU9BO4LAbef/,"Carrossel do Instagram",,Total,6473,100,4,2,0,2216,0
18095094550796988,17841401444333135,pepecollaco,"Pepê Collaço","O MAIOR FURO ECONÔMICO DA NOSSA HISTÓRIA?

Bilhões sob investigação.
Banco liquidado.
Comissão do Banco Central em andamento.

E enquanto isso… outras pautas ocupam o noticiário.

A CPI do Banco Master não é espetáculo.
É transparência.

Quando o impacto pode atingir até estruturas vistas como intocáveis, o silêncio deixa de ser coincidência.

O Brasil precisa investigar antes que a conta chegue.

Acompanhe. Compartilhe. Fique atento. 🇧🇷",0,"02/23/2026 05:56",https://www.instagram.com/p/DVGlb4ygNZO/,"Carrossel do Instagram",,Total,5969,33,14,3,0,7214,0
