"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
17890598652389235,17841401444333135,pepecollaco,"Pepê Collaço","Você sabia que o aumento do uso de leite em pó importado tem preocupado os produtores de Santa Catarina?
No vídeo, eu mostro como o leite reconstituído pode chegar às gôndolas sem a devida clareza para o consumidor — e como isso impacta a economia local e a qualidade do que chega à nossa mesa.

Na CCJ, estamos debatendo e avançando em um projeto que busca mais transparência e proteção à cadeia leiteira catarinense, valorizando quem produz aqui.

👉 Quero saber sua opinião:
Você acredita que o consumidor deve ser informado quando o leite é feito a partir de pó?
Comenta aqui 👇🥛",62,"12/07/2025 03:21",https://www.instagram.com/reel/DR9dQfvgPj0/,"Reel do Instagram",,Total,24739,40305,244,30,8,18,3
18086785871283642,17841404110672742,sergioeduardo.oficial,"Sérgio Eduardo de Oliveira","Acesse WWW.COMSERGIOOLIVEIRA.COM",0,"12/05/2025 12:58",https://www.instagram.com/p/DR5WLoTDtnF/,"Imagem do Instagram",,Total,3102,881,8,0,0,0,0
17857169736511021,17841440962110474,tubanewss,TubaNews,"A maior parte do recurso foi garantida por meio de emenda do deputado estadual Pepê Collaço.

Leia em www.tubanews.com.br",0,"12/02/2025 03:39",https://www.instagram.com/p/DRwnvfwDkkN/,"Imagem do Instagram",,Total,7055,2437,25,0,0,0,0
18303098686281511,17841401444333135,pepecollaco,"Pepê Collaço","🚨🚐 Você viu isso? Capivari de Baixo acaba de ganhar um reforço que muda vidas!

Chegou uma Sprinter novinha, acessível e com 15 lugares, ampliando o transporte da saúde e garantindo ainda mais inclusão para pessoas com TEA.

💙 Mais acessibilidade.
💙 Mais cuidado.
💙 Mais respeito com quem mais precisa.",81,"12/01/2025 10:03",https://www.instagram.com/reel/DRuuj4sAAG3/,"Reel do Instagram",,Total,12090,21424,284,16,4,19,3
18098913316773683,17841441544997486,gelsonjosebento,"Gelson Bento","📍Confraternização de fim de ano da @fecoerusc_ ao lado de grandes lideranças do cooperativismo. Um momento especial de integração, celebração e reconhecimento. 

Tivemos a honra de receber o presidente da OCESC, Vanir Zanatta, e de homenagear os parlamentares que apoiam e fortalecem o cooperativismo em Santa Catarina. 

Tive a alegria de entregar a honraria ao amigo e deputado @pepecollaco um verdadeiro entusiasta e defensor do nosso setor. 👏🏻",0,"11/28/2025 09:41",https://www.instagram.com/p/DRm9_2BEeQQ/,"Carrossel do Instagram",,Total,9934,1985,103,4,1,4,0
18087785560788332,17841401444333135,pepecollaco,"Pepê Collaço","Carlos Gomes levou o Brasil ao mundo — e você conhece sua música mesmo sem saber.
Um gênio que provou que cultura é poder e que visão de Estado muda a história. 🇧🇷🎼🔥",0,"11/24/2025 14:09",https://www.instagram.com/p/DRdJdkJgB2M/,"Carrossel do Instagram",,Total,4408,1349,29,3,0,1,0
18082040732319718,17841401444333135,pepecollaco,"Pepê Collaço","A tilápia é mais que um peixe: é renda, tradição e o sustento de centenas de famílias no Sul de SC.
Não vou aceitar que coloquem em risco uma cadeia produtiva que gera emprego, movimenta a economia e transforma municípios como Armazém e Rio Fortuna em referência.
Defender nossos produtores é defender o futuro da nossa região. Contem comigo.",91,"11/22/2025 11:18",https://www.instagram.com/reel/DRXsHungVDy/,"Reel do Instagram",,Total,34589,27523,395,43,7,16,4
18007916216814867,17841400535235628,brubrunelcollaco,"Bruna Brunel Collaço","Um sonho vivido! 

📍Disney",6,"11/21/2025 15:32",https://www.instagram.com/reel/DRVkXL2Dq2JC2pGBMCqdfBz3EOEt2ygH7RaOUg0/,"Reel do Instagram",,Total,2540,1180,51,12,0,4,0
18047635889412342,17841466474279834,amarufino01,amarufino,"Deputado  Pepê Collaço está conosco desde o início da AMA – Associação de Pais e Amigos Autistas de Rio Rufino. Sua sensibilidade, diálogo aberto e compromisso com as famílias atípicas fortalecem ainda mais nossa missão de promover inclusão, direitos e oportunidades às pessoas autistas do nosso município.

O Deputado Pepê Collaço consideramos um padrinho, contar com alguém que acredita no nosso trabalho, valoriza a causa autista e se coloca ao lado das famílias na construção de um futuro mais acessível e humano.

A AMA agradece imensamente pela parceria, pelo apoio e pela confiança. Seguimos juntos, transformando realidades e garantindo que cada criança, jovem e adulto autista tenha o cuidado e o respeito que merece.
@pepecollaco 
@katsumilages 
@va.nessa599 
@ademarsartor11
@pamelamonali",46,"11/19/2025 11:41",https://www.instagram.com/reel/DRP_hsHATGe/,"Reel do Instagram",,Total,2295,1749,66,1,0,6,0
17927199426147949,17841400138964099,laurinhoboeing,"Lauro Boeing Junior","Mais força para o nosso campo!

Chegou o novo caminhão trucado da Secretaria de Agricultura,
um investimento de R$ 605.900,00, sendo R$ 500 mil de emenda do deputado Pepe Collaço e o restante de recurso próprio.

Esse caminhão vai dar mais agilidade e capacidade de atendimento para quem produz, gera renda e movimenta a nossa economia.

Agro forte, cidade forte.
Seguimos entregando resultados.

#BraçoDoNorte #AgriculturaForte #PorteiraAdentro #TrabalhoQueAcontece",52,"11/18/2025 12:51",https://www.instagram.com/reel/DRNjhTdgRKU/,"Reel do Instagram",,Total,18915,10160,335,66,2,39,0
18120141838532320,17841400535235628,brubrunelcollaco,"Bruna Brunel Collaço","Alguns registros dessa viagem incrivelmente MÁGICA!",0,"11/18/2025 08:52",https://www.instagram.com/p/DRNId7KDgSibi6apEH9kR60_pUhVeYPF7UmYuE0/,"Carrossel do Instagram",,Total,7380,1648,228,0,0,11,0
18543763876057662,17841401444333135,pepecollaco,"Pepê Collaço","🇧🇷✨ Joaquim Nabuco: o abolicionista que sonhou um Brasil mais justo, livre e consciente.

Poucos nomes marcaram tanto a nossa história quanto ele — um homem que usou seu privilégio para enfrentar a escravidão, defender a educação e projetar o Brasil no mundo.

Da luta pela liberdade ao compromisso com a ética pública, o legado de Nabuco continua vivo. E hoje, mais do que nunca, nos inspira a construir um país com valores, identidade e futuro.

👉 Arraste pro lado e descubra por que as ideias dele ainda dizem tanto sobre o Brasil de hoje.
👉 Comente o que mais te chamou atenção na trajetória de Nabuco!",0,"11/17/2025 14:54",https://www.instagram.com/p/DRLNHtyja5E/,"Carrossel do Instagram",,Total,6813,1969,29,6,0,4,0
17968229612831206,17841401354809322,katsumilages,"Katsumi Yamaguchi","Que alegria participar da 1ª Mateada da Família na Escola do Núcleo Municipal Constâncio José da Silva 🥰

Nesse dia tão especial junto da família, dos alunos, de toda a equipe escolar e da Prefeitura de Cerro Negro, anunciamos e celebramos a emenda do deputado Pepê Collaço que vai transformar o refeitório em realidade ❤️🙌🏻🙏🏻

Quando o amor pela educação encontra parceria, a mudança acontece. A mateada foi só o começo do que estamos construindo juntos. 🌱💛",60,"11/17/2025 04:54",https://www.instagram.com/reel/DRKIQ-nkaHN/,"Reel do Instagram",,Total,3480,1977,60,10,2,1,0
18022054244716881,17841401444333135,pepecollaco,"Pepê Collaço","🌻 Você já deve ter visto esses cordões coloridos. Muito mais que acessórios, eles são meios de identificação usados por pessoas que convivem com condições invisíveis.

Por trás de cada cordão existe uma realidade não vista:
🧩 autismo
⚡ epilepsia
💛 ansiedade severa
🌀 deficiências invisíveis

Esses cordões não pedem favor, e sim empatia. Para acolher quem enfrenta batalhas que não aparecem.

👉 Compartilhe este conteúdo e ajude a levar mais informação e respeito onde ainda falta compreensão.",0,"11/14/2025 08:59",https://www.instagram.com/p/DRC2GzcAB4b/,"Carrossel do Instagram",,Total,21114,14172,161,72,54,3,14
18293063179259296,17841401444333135,pepecollaco,"Pepê Collaço","🇧🇷 O que te ensinaram na escola sobre a bandeira do Brasil… é mentira. 😱

Verde não é mata, amarelo não é ouro — e o verdadeiro significado vai te surpreender.

Entender nossos símbolos é entender nossa história.

👉 Arrasta os cards e descobre o que o verde e o amarelo realmente representam.

#HistóriaDoBrasil #BandeiraDoBrasil #ConhecimentoÉPoder #OrdemEProgresso",0,"11/10/2025 12:18",https://www.instagram.com/p/DQ45toqkRCH/,"Carrossel do Instagram",,Total,7769,2693,38,11,0,2,3
18214791166308873,17841401444333135,pepecollaco,"Pepê Collaço","•• O Censo do Autismo não é estatística — é dignidade!

A invisibilidade também é uma forma de violência. Sem dados, o poder público continua errando com quem mais precisa.
Em Santa Catarina, estamos mudando essa realidade!
Como presidente da Frente Parlamentar em Defesa das Pessoas com Autismo, estamos realizando o Censo do Autismo, um passo histórico rumo a políticas públicas reais, humanas e eficazes.
Porque quando o Estado conhece, ele pode agir de verdade.
lEsse é o começo de uma mudança que vai transformar vidas.

#AutismoÉDignidade #CensoDoAutismo
#PolíticaPúblicaDeVerdade #Inclusão #Respeito
#AutismoSC #TrabalhoQueTransforma
#FrenteParlamentarDoAutismo",0,"11/08/2025 11:38",https://www.instagram.com/p/DQzrj1lEQ6N/,"Imagem do Instagram",,Total,8322,7047,92,23,2,9,1
18059267381217624,17841406141274821,felipedordete,"Felipe Dordete","Indicação feita e Recursos Garantido! Obrigado @pepecollaco pela parceria e quem mais beneficia é nossa População de Forquilhinha e principalmente nosso bairro! O projeto dessa obra está quase pronto pela administração que será parceria nessa obra também com recursos! Seguimos trabalhando sempre! #vereadoratuante",51,"11/06/2025 08:53",https://www.instagram.com/reel/DQuOdk_Cdeo/,"Reel do Instagram",,Total,4836,3221,153,5,4,25,0
18331917814240469,17841401444333135,pepecollaco,"Pepê Collaço","Dia intenso por aqui! 💪🔥
Muito trabalho, muitos atendimentos e ainda mais vontade de fazer a diferença!
No Gabinete 34, o ritmo é de resultados e compromisso com quem confia no nosso trabalho. 🚀💼

#TrabalhoQueTransforma #Gabinete34 #ResultadosDeVerdade #DiaProdutivo",16,"11/05/2025 15:36",https://www.instagram.com/reel/DQsX5wwjXSd/,"Reel do Instagram",,Total,12468,8256,106,8,0,3,0
18165914161343175,17841401444333135,pepecollaco,"Pepê Collaço","Um brinde à uva Goethe, que nos presenteia com vinhos, frisantes e espumantes produzidos no Sul
Catarinense que competem de igual para igual no mercado nacional 🥂

Mérito da Associação dos Produtores de Uva e Vinho Goethe (Progoethe), que recebe nosso reconhecimento por meio de uma moção de aplausos da Assembleia Legislativa 👏🏻

Este é também uma homenagem aos nossos colonizadores, que passaram a tradição Goethe de geração em geração e mantém vivo uma produção tão genuína 🍇

Parabéns à associação e obrigado pelos presentes 🍷",0,"11/05/2025 12:33",https://www.instagram.com/p/DQsDcIGgfpV/,"Carrossel do Instagram",,Total,5320,1472,79,1,2,3,0
18409151743141967,17841401444333135,pepecollaco,"Pepê Collaço","Que honra imensa! Receber o Título de Cidadão Honorário de Antônio Carlos é mais do que uma homenagem — é um laço de gratidão e afeto que se fortalece com cada gesto e parceria. 💚
Essa cidade agora faz parte da minha história, e sigo comprometido em retribuir com trabalho, presença e resultados reais.

📍Antônio Carlos, de coração e propósito.

#Gratidão #AntônioCarlos #CidadãoHonorário #TrabalhoQueTransforma #Reconhecimento #Honra #SantaCatarina",0,"11/04/2025 15:51",https://www.instagram.com/p/DQp1Q7KDQhT/,"Carrossel do Instagram",,Total,12808,3455,219,11,1,29,1
18064763264574645,17841401444333135,pepecollaco,"Pepê Collaço","Um homem à frente do seu tempo.
Um líder que escolheu o conhecimento como arma e o
Brasil como causa. 

👉🏻Deslize e descubra o legado de Dom Pedro II — o
imperador que fez do progresso uma missão.",0,"11/03/2025 04:31",https://www.instagram.com/p/DQmCovGgLKw/,"Carrossel do Instagram",,Total,6146,2609,32,14,0,6,1
18111238474581475,17841401444333135,pepecollaco,"Pepê Collaço","💬 Uma das melhores partes de ser deputado é poder lutar pelos municípios e transformar o trabalho em resultados reais pra quem mais precisa! 💪

🚜 Já destinamos R$ 56 milhões em emendas para os municípios catarinenses — recursos que viram obras, saúde, educação e qualidade de vida lá na ponta.

Porque quando o recurso chega, a mudança acontece! 💙

#TrabalhoQueTransforma #SantaCatarina #DeputadoPepe #ParceriasQueDãoCerto #MaisResultados",109,"11/01/2025 13:58",https://www.instagram.com/reel/DQhyniJAWtr/,"Reel do Instagram",,Total,11264,10939,149,17,3,8,2
18423945031110492,17841401444333135,pepecollaco,"Pepê Collaço","Quando temos apoio, a caminhada fica mais fácil. E o que falar desse time de peso que me acompanhou neste sábado e enriqueceu a entrevista para a @radiolitoral90.9? Timaço!

Só tenho a agradecer 🙌🏻",0,"11/01/2025 09:40",https://www.instagram.com/p/DQhVkILAJkT/,"Carrossel do Instagram",,Total,14193,2929,135,1,0,2,0
18084878312067666,17841401444333135,pepecollaco,"Pepê Collaço","💙 Casa cheia em Armazém!
Que energia incrível estar com tantas lideranças que acreditam no nosso projeto! 💪

Cada conversa, cada abraço, cada olhar mostram que estamos no caminho certo — com diálogo, união e propósito. 🚀

#TimeProgressista #ForçaQueTransforma #Armazém #PolíticaComPropósito #SantaCatarina #TrabalhoQueConecta #JuntosPeloFuturo",0,"10/31/2025 17:42",https://www.instagram.com/p/DQfn7HVjeDs/,"Carrossel do Instagram",,Total,11330,2963,154,2,2,5,1
18079520242882866,17841401444333135,pepecollaco,"Pepê Collaço","Prestando contas em Gaspar!
Seguimos com o compromisso de estar perto das pessoas e mostrar onde cada recurso esta sendo aplicado.

Foram mais de R$ 450 mil em investimentos para fortalecer a saúde, garantir apoio a acamados, ampliar o atendimento às crianças autistas e melhorar a infraestrutura da cidade.

Transparência e trabalho que fazem a diferença por Gaspar! • #Gaspar #TrabalhoQueTransforma
#PrestaçãoDeContas",46,"10/31/2025 03:03",https://www.instagram.com/reel/DQeB7ucgDU8/,"Reel do Instagram",,Total,4303,12786,106,7,2,7,1
18143876269390391,17841401444333135,pepecollaco,"Pepê Collaço","🤝 Encontro com as lideranças do Alto Vale

Reunimos lideranças da região para dialogar sobre as demandas e os desafios que o Alto Vale enfrenta no dia a dia.
Foi um momento de troca, escuta e construção conjunta de caminhos que fortaleçam o desenvolvimento dos municípios e melhorem a vida das pessoas.

Seguimos trabalhando com diálogo e compromisso, sempre ao lado de quem faz a diferença em cada cidade do nosso estado! 💪🌄

#AltoVale #SantaCatarina #TrabalhoQueTransforma #Parceria #Lideranças",0,"10/30/2025 17:25",https://www.instagram.com/p/DQdBPJhDRIR/,"Carrossel do Instagram",,Total,20460,3913,142,10,1,4,1
18084959647800707,17841458174676543,prefpescariabrava,"Prefeitura de Pescaria Brava","🌳✨ Pescaria Brava sai na frente!

Está aberta a licitação para a construção da primeira Praça Inclusiva e Sensorial do Sul de Santa Catarina — e a maior do Estado!

O espaço será totalmente acessível, pensado para acolher pessoas de todas as idades e com diferentes necessidades.

📍 Local: Rua Manoel Gonzaga de Oliveira – Km 37 ao lado da câmara de vereadores.
💰 Valor estimado: R$ 585.009,75
📅 Abertura da licitação: 18 de novembro

👩‍🦽 Um projeto inovador, que reforça o compromisso de Pescaria Brava com a inclusão, acessibilidade e qualidade de vida!
#PescariaBrava #PraçaInclusiva #Licitação #Infraestrutura #Acessibilidade #CompromissoComAsPessoas #PrefeituraDePescariaBrava",32,"10/30/2025 09:05",https://www.instagram.com/reel/DQcHfiukQ-X/,"Reel do Instagram",,Total,31140,11990,886,287,19,104,0
18028697033743086,17841401444333135,pepecollaco,"Pepê Collaço","POLÍTICA QUE ESCUTA E AGE 👂🏼➡️✍🏼

A verdadeira política acontece fora dos gabinetes.

A Alesc Itinerante é o Parlamento em movimento: escutando prefeitos, dialogando com lideranças e conhecendo de perto os desafios das comunidades em base para a construção de leis.

💬 Presença que gera confiança.
📍 Ações que nascem da vida real.
🤝 Parlamento próximo do cidadão.

Acompanhe nosso trabalho!

#PepêCollaço #SantaCatarina #AlescItinerante #PolíticaDeVerdade #EscutaQueTransforma #InteriorPresente",0,"10/29/2025 14:04",https://www.instagram.com/p/DQaFZx8AcC8/,"Carrossel do Instagram",,Total,6381,1746,63,6,0,0,1
17873745141441769,17841401444333135,pepecollaco,"Pepê Collaço","CIÊNCIA AVANÇA NO ENTENDIMENTO DO AUTISMO 🧠🧬
Pesquisadores da Universidade de Stanford descobriram um tratamento experimental que conseguiu reverter sintomas semelhantes ao autismo em camundongos.

🔍 O estudo foca em uma mutação genética (TSC1), que pode causar alterações no cérebro e está relacionada a alguns casos de autismo. Essa mutação afeta a comunicação entre duas áreas importantes: o hipotálamo e a amígdala, que regulam emoções e comportamentos sociais.

Com o uso de um medicamento experimental, os cientistas conseguiram normalizar essa comunicação e reduzir comportamentos repetitivos e dificuldades de interação social nos animais.

🧪 Ainda é uma pesquisa feita em laboratório, mas é um avanço importante. Ela mostra caminhos promissores para entender melhor o TEA e, no futuro, desenvolver tratamentos mais eficazes.

A ciência não para — e cada descoberta importa!
Seguimos lutando por políticas públicas baseadas em evidência, com inclusão e respeito às pessoas com autismo.

🔗 Estudo completo: https://www.science.org/doi/10.1126/sciadv.adw4682

📌 #AutismoÉPrioridade #ConhecimentoQueInclui #PesquisaCientífica

📲 Acompanhe nosso mandato e compartilhe!",0,"10/27/2025 11:36",https://www.instagram.com/p/DQUq0ovAboT/,"Imagem do Instagram",,Total,19810,10805,913,44,0,7,21
18051761678329409,17841401444333135,pepecollaco,"Pepê Collaço","✨ Parabéns, Pescaria Brava! 🎉

A cidade mais jovem de Santa Catarina segue crescendo com trabalho, fé e compromisso com o futuro. 💪
São 13 anos de conquistas, com obras que melhoram a vida das pessoas saúde mais equipada, ruas pavimentadas, escolas mais estruturadas e oportunidades que chegam a cada canto da cidade.

#PescariaBrava #13Anos #SC #TrabalhoQueTransforma #PepêCollaço",0,"10/25/2025 16:25",https://www.instagram.com/p/DQQCXWZDfXy/,"Imagem do Instagram",,Total,16204,8595,210,6,1,8,2
18349447771164825,17841401444333135,pepecollaco,"Pepê Collaço","ORGULHO E DISCIPLINA 🥋💙

O esporte é um dos caminhos mais bonitos pra ensinar valores como respeito, foco e superação.
Ver a Lelê crescendo nesse ambiente, com tanta dedicação e garra, é motivo de muito orgulho pra gente. Ela é incrível e o Judô complementa isso! 👏💪

Que mais crianças e jovens possam encontrar no esporte uma forma de transformar suas vidas. É isso! ⚡

#EsporteÉTransformação #JudôSC #Família #PepêCollaço #SantaCatarina #OrgulhoDePai",0,"10/25/2025 06:48",https://www.instagram.com/p/DQPAXW6ACEL/,"Imagem do Instagram",,Total,6135,2204,166,3,1,6,1
18086750662753034,17841401444333135,pepecollaco,"Pepê Collaço","CHEGAMOS EM TREZE TÍLIAS! 
Foram destinados R$ 200 mil para a pavimentação de ruas e calçadas, melhorando a mobilidade e a qualidade de vida da população.
Cidade linda, limpa e cheia de charme, com suas tradições austríacas que encantam quem passa por aqui. 🇦🇹

#TrezeTílias #TrabalhoQueTransforma",46,"10/24/2025 09:33",https://www.instagram.com/reel/DQMtP3cAAd9/,"Reel do Instagram",,Total,14295,10294,156,9,4,6,1
