ig_media_id,data,tipo,curtidas,comentarios,engajamento,autismo,legenda,permalink
17864449188629223,2026-05-29,REELS,102,5,107,,"ONDE A DONA ALZA FALOU, TÁ FALADO! 🚜🛣️ Mais uma conqu",https://www.instagram.com/reel/DY72zyzOl2L/
18591510112014083,2026-05-28,REELS,989,21,1010,,"Feliz aniversário, Tubarão! 💙 São 156 anos de uma cida",https://www.instagram.com/reel/DY3I1OGMHrm/
18108383446913089,2026-05-27,FEED,63,7,70,,156 anos de uma cidade feita por gente forte. ❤️ Tubarã,https://www.instagram.com/p/DY130ZBAG5i/
18065478617342975,2026-04-27,REELS,138,22,160,sim,AUTISMO E IPVA: UM DIREITO QUE MUITA GENTE AINDA NÃO SA,https://www.instagram.com/reel/DXpg2Nqgewx/
18006979136715125,2026-04-22,FEED,42,6,48,sim,AUTISMO NÃO É TUDO IGUAL 🧩💙 Você sabia que existem ní,https://www.instagram.com/p/DXcscZTALQ3/
18168561904411390,2026-04-15,REELS,134,16,150,sim,AUTISMO É PRIORIDADE 💙 Todo pai e toda mãe de uma cria,https://www.instagram.com/reel/DXKkyJECden/
17933329614215534,2026-04-13,REELS,74,11,85,sim,AUTISMO 🧩,https://www.instagram.com/reel/DXFXtFciYUT/
18117306994636956,2026-04-11,FEED,73,8,81,sim,AUTISMO E O PAPEL DO PAI 🧩 A ciência começa a mostrar ,https://www.instagram.com/p/DXAXQawkeNH/
18405435850181700,2026-04-08,FEED,58,14,72,sim,AUTISMO É PRIORIDADE 💙 Abril é o mês de conscientizaçã,https://www.instagram.com/p/DW4OzcjAOBh/
18094544249017782,2026-04-01,REELS,105,29,134,sim,"INVESTIMENTO QUE TRANSFORMA 🧩 No mês do Abril Azul, re",https://www.instagram.com/reel/DWlyjIAgJDv/
18110509987759914,2026-03-15,REELS,87,9,96,sim,AUTISMO É PRIORIDADE 💙 Participei da inauguração da AM,https://www.instagram.com/reel/DV6jzptANP3/
18076342364419956,2026-03-12,REELS,269,37,306,sim,VÍNCULO TAMBÉM ENSINA 💙 Uma criança com autismo não pr,https://www.instagram.com/reel/DVzNyB_gEee/
18214791166308873,2025-11-08,FEED,92,9,101,sim,•• O Censo do Autismo não é estatística — é dignidade! ,https://www.instagram.com/p/DQzrj1lEQ6N/
17873745141441769,2025-10-27,FEED,60,6,66,sim,CIÊNCIA AVANÇA NO ENTENDIMENTO DO AUTISMO 🧠🧬 Pesquisa,https://www.instagram.com/p/DQUq0ovAboT/
17940237614938408,2025-09-12,REELS,192,17,209,sim,INCLUSÃO QUE FAZ A DIFERENÇA! 🧩 Uma sala sensorial tra,https://www.instagram.com/reel/DOgD7NZgMO6/
18046241630204994,2025-06-18,REELS,137,25,162,sim,"AUTISMO É PRIORIDADE! 💙 O autismo não tem cara, mas te",https://www.instagram.com/reel/DLDi5nQJRd6/
17919435150095663,2025-06-05,REELS,257,29,286,sim,📊 DADOS DOS AUTISTAS EM SC! 🧩 A apresentação do @ibge,https://www.instagram.com/reel/DKh0aG-RXU5/
17858706549405553,2025-04-22,FEED,105,12,117,sim,ABRIL AZUL 🩵 Defendendo o autismo por mais inclusão!,https://www.instagram.com/p/DIw7aPjJaLp/
18073214578668233,2025-04-01,FEED,151,22,173,sim,AUTISMO DEFENDIDO COM AÇÕES! 🧩👊 Cada pessoa autista t,https://www.instagram.com/p/DH5-3xUOghS/
18026979665380794,2025-03-10,REELS,226,50,276,sim,MANDE SUA IDEIA EM DEFESA DO AUTISMO! 🧩 Conheça nossas,https://www.instagram.com/reel/DHBrCX9OzTu/
17910546135064965,2025-01-08,REELS,193,25,218,sim,AUTISMO: PROJETO DO CENSO É PIONEIRO! 🧩 Nossa iniciati,https://www.instagram.com/reel/DElL-s4pqc7/
18073041133620917,2024-12-02,REELS,169,16,185,sim,"AUTISMO, eu defendo! 🧩💙 🚨 Conquistas que transformam",https://www.instagram.com/reel/DDFTmWEpgM_/
18046968611099018,2024-11-01,REELS,194,28,222,sim,UM CENSO DE AUTISMO 🧩 Um passo essencial para garantir,https://www.instagram.com/reel/DB1-NSZyG0d/
17902597562991876,2024-06-05,FEED,48,3,51,sim,PASSANDO PRA AVISAR 🗣️ Que o seminário estadual Autism,https://www.instagram.com/p/C72bUaUuW3T/
17970293516602549,2024-05-20,FEED,106,10,116,,INSCRIÇÕES ESTÃO ABERTAS! 💥🧩 Seminário Estadual de Au,https://www.instagram.com/p/C7NMjd0uTPu/
18025551596497631,2024-05-06,REELS,122,10,132,sim,Casa dos Autistas de Agrolândia! 🧩 Um trabalho lindo e,https://www.instagram.com/reel/C6pQ6rXuwqz/
18125078173343512,2024-04-16,REELS,118,12,130,sim,À DEDICAÇÃO DAS FEAMAS COM AS PESSOAS COM TEA! 👏 É iss,https://www.instagram.com/reel/C5zVVn8OEuf/
17918819336873002,2024-04-02,REELS,228,26,254,sim,EU DEFENDO O AUTISMO E VOCÊ? 🧩 Essa pauta é uma das mi,https://www.instagram.com/reel/C5Q9xM6uj11/
