"ID","DATA_PUBLICACAO","ANO","TITULO","VEICULO","URL","TIPO_DE_VEICULO","PAUTA_PRINCIPAL","SUBPAUTA","MUNICIPIO","REGIAO","RESUMO","ATUACAO_DE_PEPE_COLLACO","RELEVANCIA","PALAVRAS_CHAVE","PROJETO_OU_OBRA_RELACIONADA","VALOR_RECURSO","CITACAO_DE_PEPE","LINK_VALIDADO","OBSERVACOES"
"11","06/10/2023","2023","Deputado Pepê Collaço inicia diálogo com empresários de Tubarão e região","RCN Online","https://www.rcnonline.com.br/parlamento/deputado_pepe_collaco_inicia_dialogo_com_empresarios_de_tubarao_e_regiao.548650","Portal de notícias estadual","DESENVOLVIMENTO REGIONAL","Empresariado; demandas regionais","Tubarão; Jaguaruna; Imbituba","Sul de SC / AMUREL","Visita à Associação Empresarial de Tubarão abre uma série de diálogos com associações empresariais da região. Na pauta: fortalecimento do Aeroporto de Jaguaruna, investimentos no Porto de Imbituba, o Hospital Nossa Senhora da Conceição e melhorias na SC-370.","Coordenador da Bancada do Sul; conduz a série de diálogos com o empresariado e define as prioridades regionais discutidas.","ALTA","empresariado; Acit; Aeroporto de Jaguaruna; Porto de Imbituba; SC-370; HNSC","","","NÃO","SIM","Boa referência de 2023 para a articulação econômica regional."
"12","25/01/2024","2024","Pepê Collaço e Zé Milton Scheffer definem as prioridades para 2024","4oito","https://www.4oito.com.br/noticia/pepe-collaco-e-ze-milton-scheffer-definem-as-prioridades-para-2024-73173","Portal de notícias regional","INFRAESTRUTURA","Prioridades regionais; hospitais; rodovias","Içara; Braço do Norte; Laguna; Criciúma; Cocal do Sul; Turvo; Tubarão; Jaguaruna; Imbituba; Urussanga","Sul de SC / AMUREL, AMREC e AMESC","Reportagem sobre as prioridades de infraestrutura e saúde definidas para 2024 pelos deputados da região, com recursos para hospitais, rodovias estaduais (SC-445, SC-370, SC-108), viaturas e quartel de bombeiros.","Coordenador da Bancada do Sul; é um dos dois protagonistas da reportagem e define as prioridades regionais do ano.","ALTA","prioridades 2024; hospitais; SC-370; SC-445; SC-108; Bancada do Sul","Hospital São Donato; Hospital de Braço do Norte; rodovias SC-370, SC-445 e SC-108","R$ 3 milhões (Hospital São Donato); R$ 2 milhões (Hospital de Braço do Norte); R$ 2 milhões (carros elétricos Criciúma); R$ 2 milhões (quartel de bombeiros Cocal do Sul); R$ 200 milhões (SC-108)","SIM","SIM","Excelente fonte para a pauta de saúde e infraestrutura de 2024."
"13","14/03/2024","2024","Pescaria Brava poderá ter linha de ônibus com Tarifa Zero","Sul Agora","https://sulagora.com.br/geral/pescaria-brava-podera-ter-linha-de-onibus-com-tarifa-zero-16845","Portal de notícias regional","DESENVOLVIMENTO REGIONAL","Mobilidade; transporte público; Tarifa Zero","Pescaria Brava","Sul de SC / AMUREL","Pescaria Brava é apresentada ao Ministério das Cidades, em Brasília, para aderir ao programa Tarifa Zero de transporte coletivo.","O gabinete do deputado, por meio de seu chefe de gabinete, conduziu a articulação em Brasília ao lado do prefeito de Pescaria Brava.","MÉDIA","Tarifa Zero; mobilidade; Pescaria Brava; Ministério das Cidades","Programa Tarifa Zero em Pescaria Brava","","NÃO","SIM","A articulação foi conduzida pelo chefe de gabinete, não pelo deputado pessoalmente."
"14","23/04/2024","2024","Rede Feminina de Tubarão recebe R$ 100 mil via emenda parlamentar","Hora Certa Notícias","https://www.hcnoticias.com.br/geral/68157/rede-feminina-de-tubarao-recebe-r-100-mil-via-emenda-parlamentar","Portal de notícias regional","SAÚDE","Entidades sociais; combate ao câncer; emenda","Tubarão","Sul de SC / AMUREL","A Rede Feminina de Combate ao Câncer de Tubarão é contemplada com emenda parlamentar de R$ 100 mil destinada a suprir necessidades de manutenção da instituição.","Autor da emenda parlamentar de R$ 100 mil destinada à entidade.","ALTA","Rede Feminina; câncer; Tubarão; emenda","Emenda para a Rede Feminina de Combate ao Câncer de Tubarão","R$ 100 mil","NÃO","SIM",""
"15","13/06/2024","2024","Ótima notícia: projeto de redragagem do Rio Tubarão será atualizado pela UFSC","Hora Hiper","https://horahiper.com.br/geral/otima-noticia-projeto-de-redragagem-do-rio-tubarao-sera-atualizado-pela-ufsc-20861","Portal de notícias regional","INFRAESTRUTURA","Redragagem do Rio Tubarão; UFSC","Tubarão; Laguna; Capivari de Baixo","Sul de SC / AMUREL","O projeto de redragagem do Rio Tubarão, estimado em R$ 586 milhões, será atualizado pelo Ceped da UFSC.","Criador da Frente Parlamentar das Dragagens dos Rios Catarinenses e articulador da atualização do projeto.","ALTA","redragagem; Rio Tubarão; UFSC; Frente Parlamentar das Dragagens","Redragagem do Rio Tubarão","R$ 586 milhões","SIM","SIM",""
"16","19/11/2024","2024","Empresário Eraldo Tadeu da Rosa recebe Comenda do Legislativo Catarinense","Notisul","https://www.notisul.com.br/empresario-eraldo-tadeu-da-rosa-recebe-comenda-do-legislativo-catarinense/","Jornal regional (portal)","HOMENAGENS","Homenagem; Comenda do Legislativo","Tubarão","Sul de SC / AMUREL","O empresário Eraldo Tadeu da Rosa recebe a Comenda do Legislativo Catarinense, maior honraria da Assembleia, por sua contribuição ao desenvolvimento regional.","Autor da indicação que concedeu a honraria; participou da homenagem e falou sobre o homenageado.","ALTA","Comenda do Legislativo; homenagem; Tubarão","Comenda do Legislativo Catarinense","","SIM","SIM",""
"17","04/12/2024","2024","Assembleia Legislativa aprova mudanças nos limites entre municípios do Litoral Sul","UNITV","https://unitv.com.br/geral/assembleia-legislativa-aprova-mudancas-nos-limites-entre-municipios-do-litoral-sul/","Emissora de TV regional","PROJETOS DE LEI","Limites municipais; litoral sul","Imbituba; Laguna; Garopaba","Sul de SC / AMUREL e Grande Florianópolis","A Assembleia aprova as mudanças nos limites entre municípios do Litoral Sul, incluindo alterações entre Imbituba e Garopaba sugeridas por emenda parlamentar.","Sugeriu as emendas que ampliaram o projeto para abranger alterações nos limites entre Imbituba e Garopaba.","MÉDIA","limites municipais; Imbituba; Garopaba; Laguna","Projeto de alteração de limites territoriais","","NÃO","SIM",""
"18","07/01/2025","2025","Santa Catarina será o primeiro estado a ter Censo de Transtorno do Espectro Autista","NSC Total (coluna Dagmara Spautz)","https://www.nsctotal.com.br/colunista/dagmara-spautz/santa-catarina-sera-o-primeiro-estado-a-ter-censo-de-transtorno-do-espectro-autista","Portal de notícias estadual (coluna)","AUTISMO E INCLUSÃO","Censo TEA; Acafe; políticas públicas","Santa Catarina","Santa Catarina / Estadual","Coluna estadual anuncia que Santa Catarina será o primeiro estado do país a realizar um Censo do Transtorno do Espectro Autista, aplicado em plataforma virtual pelas universidades do sistema Acafe nos 295 municípios.","O censo é resultado do trabalho da Frente Parlamentar em Defesa das Pessoas com TEA na Alesc, presidida por ele.","ALTA","censo TEA; autismo; Acafe; Alesc; políticas públicas","Censo Estadual do Transtorno do Espectro Autista","","NÃO","SIM","Principal repercussão estadual do censo TEA."
"19","13/01/2025","2025","Pioneiro no Brasil, Censo Estadual de Santa Catarina vai mapear pessoas com autismo e garantir mais inclusão","Ligado no Sul","https://www.ligadonosul.com.br/geral/pioneiro-no-brasil-censo-estadual-de-santa-catarina-vai-mapear-pessoas-com-autismo-e-garantir-mais-inclusao/","Portal de notícias regional","AUTISMO E INCLUSÃO","Censo TEA; Frente Parlamentar; inclusão","Santa Catarina","Santa Catarina / Estadual","Reportagem sobre o Censo Estadual do Transtorno do Espectro Autista, primeiro do país, conduzido pela Alesc por meio da Frente Parlamentar em Defesa da Pessoa com Autismo e executado pela Acafe.","Autor do projeto do censo e da Frente Parlamentar em Defesa da Pessoa com Autismo, origem institucional da iniciativa.","ALTA","censo TEA; autismo; Acafe; Frente Parlamentar; inclusão","Censo Estadual do Transtorno do Espectro Autista","","NÃO","SIM",""
"20","21/01/2025","2025","Hospital Santa Otília recebe gerador adquirido com emenda do deputado Pepê Collaço","Ligado no Sul","https://www.ligadonosul.com.br/saude/hospital-santa-otilia-recebe-gerador-adquirido-com-emenda-do-deputado-pepe-collaco/","Portal de notícias regional","SAÚDE","Hospital filantrópico; equipamento; emenda","Orleans","Sul de SC / AMREC","Visita a Orleans marca a entrega do gerador instalado no Hospital Santa Otília, adquirido com emenda parlamentar do deputado, equipamento que dá mais segurança ao atendimento em emergências e quedas de energia.","Autor da emenda parlamentar que financiou a compra e instalação do gerador.","ALTA","Hospital Santa Otília; Orleans; gerador; emenda; saúde","Gerador do Hospital Santa Otília","","NÃO","SIM","A mesma matéria foi reproduzida pelo Imprensa News Sul; mantida apenas a versão original do Ligado no Sul."
"21","24/01/2025","2025","Alesc observa situação da APA da Baleia Franca em Jaguaruna","SCTodoDia","https://sctd.com.br/meio-ambiente/alesc-observa-situacao-da-apa-da-baleia-franca-em-jaguaruna/","Portal de notícias regional","DESENVOLVIMENTO REGIONAL","APA da Baleia Franca; meio ambiente; licenciamento","Jaguaruna","Sul de SC / AMUREL","A Alesc acompanha os efeitos das restrições da APA da Baleia Franca sobre o desenvolvimento de Jaguaruna. O deputado critica o entrave ao desenvolvimento regional e compara a situação com a de outros balneários catarinenses.","Principal voz da reportagem: cobra revisão da legislação da APA para conciliar preservação e desenvolvimento no litoral sul.","ALTA","APA Baleia Franca; Jaguaruna; meio ambiente; desenvolvimento regional","","","SIM","SIM",""
"22","29/01/2025","2025","Projetos para redragagem no Porto de Laguna ainda não foram licitados","Sul Agora","https://sulagora.com.br/geral/projetos-para-redragagem-no-porto-de-laguna-ainda-nao-foram-licitados-20107","Portal de notícias regional","INFRAESTRUTURA","Redragagem; Porto de Laguna; licitação","Laguna; Tubarão","Sul de SC / AMUREL","Reportagem cobra o atraso na licitação dos projetos de redragagem do Porto de Laguna, com R$ 5 milhões já assegurados. O deputado critica publicamente a morosidade do governo do Estado.","Coordenador da Bancada do Sul e principal voz de cobrança pública pela abertura da licitação dos projetos.","ALTA","redragagem; Porto de Laguna; licitação; Bancada do Sul","Projetos básico e executivo de redragagem do Porto de Laguna","R$ 5 milhões","SIM","SIM",""
"23","03/02/2025","2025","EXCLUSIVA: Pepê Collaço sobre Júlio Garcia na ALESC","SCTodoDia","https://sctd.com.br/politica/exclusiva-pepe-collaco-sobre-julio-garcia-na-alesc/","Portal de notícias regional","POLÍTICA E ARTICULAÇÃO","Entrevista; Alesc; representatividade do Sul","Tubarão; Criciúma","Sul de SC / AMUREL","Entrevista exclusiva concedida à Rádio Cidade de Tubarão em que o deputado comenta a eleição de Júlio Garcia para a presidência da Alesc e o ganho de espaço político do Sul catarinense.","Entrevistado exclusivo; a matéria registra seus cargos: presidente da CCJ, coordenador da Bancada do Sul e criador da Frente Parlamentar em Defesa do Autismo.","MÉDIA","Alesc; Júlio Garcia; CCJ; Bancada do Sul; autismo","","","SIM","SIM",""
"24","04/02/2025","2025","Redragagem do Porto de Laguna e Rio Tubarão são temas de reunião na Acit","TubaNews","https://tubanews.com.br/geral/redragagem-do-porto-de-laguna-e-rio-tubarao-sao-temas-de-reuniao-na-acit-63638","Portal de notícias local","INFRAESTRUTURA","Redragagem; Acit; empresariado","Tubarão; Laguna","Sul de SC / AMUREL","Reunião na Associação Empresarial de Tubarão discute a redragagem do Porto de Laguna e do Rio Tubarão. O deputado confirma que a Bancada do Sul destinou R$ 5 milhões sete meses antes, mas a licitação ainda não havia sido lançada.","Convidado principal do encontro; expõe a articulação da Bancada do Sul e cobra celeridade do governo do Estado.","ALTA","redragagem; Acit; Porto de Laguna; Rio Tubarão; Bancada do Sul","Projetos de redragagem do Porto de Laguna e Rio Tubarão","R$ 5 milhões","SIM","SIM",""
"25","04/02/2025","2025","Licitação para projeto pode sair em 60 dias, indica secretaria, após cobrança de deputado","Agora Laguna","https://agoralaguna.com.br/2025/02/licitacao-para-projeto-pode-sair-em-60-dias-indica-secretaria-apos-cobranca-de-deputado/","Portal de notícias regional","INFRAESTRUTURA","Redragagem; Porto de Laguna; licitação","Laguna; Tubarão","Sul de SC / AMUREL","Após cobrança pública do deputado, a Secretaria de Portos, Aeroportos e Ferrovias informa que a licitação dos projetos de redragagem da área do Porto de Laguna deve sair em cerca de 60 dias.","Coordenador da Bancada do Sul; sua cobrança pública é o fato gerador da resposta oficial do governo do Estado.","ALTA","redragagem; Porto de Laguna; licitação; SPAF; Acit","Projetos básico e executivo de redragagem do Porto de Laguna","","SIM","SIM","Demonstra efeito prático da cobrança parlamentar."
"26","06/02/2025","2025","Pepê Collaço presidirá a CCJ da Assembleia Legislativa em 2025","Hora Hiper","https://horahiper.com.br/geral/pepe-collaco-presidira-a-ccj-da-assembleia-legislativa-em-2025-24162","Portal de notícias regional","ATUAÇÃO LEGISLATIVA","CCJ; Alesc; atuação legislativa","Tubarão; Braço do Norte","Sul de SC / AMUREL","O deputado é escolhido presidente da Comissão de Constituição e Justiça da Alesc, tornando-se o primeiro parlamentar da região da Amurel a ocupar o cargo, com mandato até o fim de 2026.","É o protagonista da matéria: eleito presidente da CCJ, uma das comissões mais estratégicas do Legislativo catarinense.","ALTA","CCJ; Alesc; Amurel; presidência de comissão","Presidência da CCJ (biênio 2025-2026)","","SIM","SIM","Marco institucional do mandato."
"27","10/02/2025","2025","""Não quero pensar agora"", diz Pepê sobre eleição","SCTodoDia","https://sctd.com.br/politica/nao-quero-pensar-nisso-agora-diz-pepe-sobre-eleicao","Portal de notícias regional","ATUAÇÃO LEGISLATIVA","Perfil; CCJ; autismo; Bancada do Sul","Tubarão; Criciúma","Sul de SC / AMUREL","Perfil e entrevista após ele se tornar o primeiro deputado da região da Amurel a presidir a CCJ da Alesc. Aborda a Frente Parlamentar em Defesa da Pessoa com Autismo, a autoria do censo TEA, a presidência da Comissão da Criança e do Adolescente e a saída da coordenação da Bancada do Sul.","Entrevistado e assunto central; a matéria consolida seus principais cargos e bandeiras no mandato.","ALTA","CCJ; Amurel; autismo; censo TEA; Bancada do Sul","Censo Estadual do TEA","","SIM","SIM","Boa fonte biográfica do mandato."
"28","20/02/2025","2025","Presidente do Legislativo pleiteia recursos para Içara","TN Sul","https://tnsul.com/2025/02/20/presidente-do-legislativo-pleiteia-recursos-para-icara/","Portal de notícias regional","DESENVOLVIMENTO REGIONAL","Emendas; ação social; bem-estar animal","Içara","Sul de SC / AMREC","O presidente da Câmara de Içara visita o gabinete do deputado em Florianópolis e apresenta demandas do município nas áreas de ação social e bem-estar animal.","Recebeu as demandas do município e assumiu o compromisso de viabilizar recursos por emenda parlamentar.","MÉDIA","Içara; emenda; ação social; bem-estar animal","","","NÃO","SIM",""
"29","17/03/2025","2025","Comitiva catarinense visita a sede da multinacional Eikto, na China","TubaNews","https://tubanews.com.br/geral/comitiva-catarinense-visita-a-sede-da-multinacional-eikto-na-china-64011","Portal de notícias local","ECONOMIA","Missão internacional; Eikto; investimento","Laguna; Tubarão","Sul de SC / AMUREL","Comitiva catarinense visita na China a sede da Eikto, fabricante de baterias de lítio que projeta investimento em Santa Catarina.","Integrou a comitiva como membro da Comissão de Comércio Exterior da Alesc e comentou o porte do investimento.","MÉDIA","Eikto; China; baterias de lítio; comércio exterior; investimento","Investimento da Eikto em Laguna","","SIM","SIM",""
"30","26/03/2025","2025","Projeto de Lei que reajusta salário mínimo regional de SC é aprovado pela CCJ","Ligado no Sul","https://www.ligadonosul.com.br/economia/projeto-de-lei-que-reajusta-salario-minimo-regional-de-sc-e-aprovado-pela-ccj/","Portal de notícias regional","ECONOMIA","Salário mínimo regional; CCJ; relatoria","Santa Catarina","Santa Catarina / Estadual","A CCJ aprova parecer favorável ao PLC 5/2025, que reajusta em 7,2% o salário mínimo regional catarinense, retroativo a 1º de janeiro, com novos valores em quatro faixas salariais.","Presidente da CCJ e relator da matéria; defendeu o acordo entre trabalhadores e setor produtivo como base do reajuste.","ALTA","salário mínimo regional; CCJ; relatoria; PLC 5/2025","PLC 5/2025 (salário mínimo regional)","Faixas de R$ 1.730,00 a R$ 1.978,00","SIM","SIM",""
"31","01/04/2025","2025","Deputado Tiago Zilli assume a coordenação da Bancada do Sul","ND Mais","https://ndmais.com.br/politica/deputado-tiago-zilli-assume-a-coordenacao-da-bancada-do-sul/","Portal de notícias estadual","POLÍTICA E ARTICULAÇÃO","Bancada do Sul; Alesc","Santa Catarina","Sul de SC","Tiago Zilli assume a coordenação da Bancada do Sul, colegiado que até então era comandado por Pepê Collaço. A matéria lista os integrantes do grupo.","Coordenador anterior da Bancada do Sul, que passa o comando do colegiado após um ano de gestão.","MÉDIA","Bancada do Sul; Alesc; Tiago Zilli","","","NÃO","SIM",""
"32","02/04/2025","2025","Deputado Pepê Collaço passa coordenação da Bancada do Sul para o deputado Tiago Zilli","Ligado no Sul","https://www.ligadonosul.com.br/politica/deputado-pepe-collaco-passa-coordenacao-da-bancada-do-sul-para-o-deputado-tiago-zilli/","Portal de notícias regional","POLÍTICA E ARTICULAÇÃO","Bancada do Sul; Alesc","Orleans; Laguna; Içara; Criciúma","Sul de SC","O deputado passa oficialmente a coordenação da Bancada do Sul a Tiago Zilli, após um ano à frente do colegiado.","Protagonista da matéria: encerra sua gestão como coordenador da Bancada do Sul e faz o balanço do período.","ALTA","Bancada do Sul; Alesc; Tiago Zilli; coordenação","Coordenação da Bancada do Sul (2024-2025)","","SIM","SIM",""
"33","08/04/2025","2025","Morro dos Cavalos é pauta de audiência em Brasília","SCTodoDia","https://sctd.com.br/politica/morro-dos-cavalos-e-pauta-de-audiencia-em-brasilia","Portal de notícias regional","INFRAESTRUTURA","BR-101; túnel do Morro dos Cavalos; Bancada do Sul","Palhoça","Grande Florianópolis / Impacto no Sul de SC","A Bancada do Sul da Alesc pede audiência em Brasília para cobrar a retomada das obras do túnel do Morro dos Cavalos na BR-101, orçado em cerca de R$ 1 bilhão.","Integra e articula a Bancada do Sul na cobrança federal pela obra; é a fonte que lamenta a paralisação.","MÉDIA","Morro dos Cavalos; BR-101; túnel; Bancada do Sul","Túnel do Morro dos Cavalos (BR-101)","R$ 1 bilhão","SIM","SIM",""
"34","08/04/2025","2025","Bancada do Sul cobra túnel urgente no Morro dos Cavalos após novo acidente","Notisul","https://notisul.com.br/bancada-do-sul-cobra-tunel-urgente-no-morro-dos-cavalos-apos-novo-acidente/","Jornal regional (portal)","INFRAESTRUTURA","BR-101; túnel; Bancada do Sul","Palhoça; Capivari de Baixo","Grande Florianópolis / Sul de SC","Após novo acidente na BR-101, a Bancada do Sul apresenta moção e pede audiência com o presidente da República e o ministro dos Transportes para destravar o túnel do Morro dos Cavalos, obra de cerca de R$ 1 bilhão.","Lidera a cobrança pública pela obra e classifica a situação como tragédia anunciada; é a principal voz da reportagem.","ALTA","Morro dos Cavalos; BR-101; túnel; Bancada do Sul","Túnel do Morro dos Cavalos (BR-101)","R$ 1 bilhão","SIM","SIM",""
